T-01
#Size:9,9
#Type:スタンダード
#Question:
0,1,0,0,8,0,0,7,0,
0,0,2,0,0,5,0,0,9,
0,0,3,0,0,4,0,0,6,
0,4,0,0,2,0,0,3,0,
0,0,0,0,0,0,0,0,0,
0,5,0,0,4,0,0,1,0,
6,0,0,9,0,0,3,0,0,
7,0,0,3,0,0,4,0,0,
0,8,0,0,6,0,0,5,0,
#Answer:
4,1,9,2,8,6,5,7,3,
8,6,2,7,3,5,1,4,9,
5,7,3,1,9,4,8,2,6,
1,4,6,8,2,9,7,3,5,
2,3,8,5,7,1,6,9,4,
9,5,7,6,4,3,2,1,8,
6,2,4,9,5,7,3,8,1,
7,9,5,3,1,8,4,6,2,
3,8,1,4,6,2,9,5,7,

T-02
#Size:9,9
#Type:スタンダード
#Question:
1,2,0,0,0,5,0,0,0,
0,3,4,0,0,0,8,0,0,
0,0,5,6,0,0,2,0,0,
0,0,0,7,8,0,0,3,0,
0,0,0,0,9,0,0,0,0,
0,9,0,0,6,2,0,0,0,
0,0,2,0,0,6,9,0,0,
0,0,6,0,0,0,1,5,0,
0,0,0,8,0,0,0,4,3,
#Answer:
1,2,8,9,4,5,3,6,7,
6,3,4,2,1,7,8,9,5,
9,7,5,6,3,8,2,1,4,
2,6,1,7,8,4,5,3,9,
5,8,7,1,9,3,4,2,6,
4,9,3,5,6,2,7,8,1,
3,1,2,4,5,6,9,7,8,
8,4,6,3,7,9,1,5,2,
7,5,9,8,2,1,6,4,3,

T-03
#Size:9,9
#Type:スタンダード
#Question:
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,9,6,0,
0,0,0,0,3,6,7,2,8,
0,0,0,0,0,5,1,9,0,
0,0,1,0,0,0,6,0,0,
0,2,3,4,0,0,0,0,0,
5,6,7,8,9,0,0,0,0,
0,9,4,2,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
#Answer:
8,7,6,9,4,2,3,1,5,
2,3,5,7,8,1,9,6,4,
4,1,9,5,3,6,7,2,8,
7,4,8,6,2,5,1,9,3,
9,5,1,3,7,8,6,4,2,
6,2,3,4,1,9,5,8,7,
5,6,7,8,9,4,2,3,1,
1,9,4,2,5,3,8,7,6,
3,8,2,1,6,7,4,5,9,

T-04
#Size:9,9
#Type:スタンダード
*Present:(0,0),(0,0)
#Question:
0,0,5,0,0,0,0,0,0,
0,1,0,4,0,6,0,3,0,
0,0,6,0,0,0,2,0,0,
0,2,0,5,0,4,0,9,0,
0,0,7,0,0,0,3,0,0,
0,3,0,1,0,8,0,6,0,
0,0,8,0,0,0,9,0,0,
0,4,0,3,0,9,0,5,0,
0,0,0,0,0,0,1,0,0,
#Answer:
3,7,5,9,2,1,4,8,6,
2,1,9,4,8,6,7,3,5,
4,8,6,7,5,3,2,1,9,
6,2,1,5,3,4,8,9,7,
8,5,7,6,9,2,3,4,1,
9,3,4,1,7,8,5,6,2,
1,6,8,2,4,5,9,7,3,
7,4,2,3,1,9,6,5,8,
5,9,3,8,6,7,1,2,4,

T-05
#Size:9,9
#Type:スタンダード
#Question:
0,0,2,0,4,0,6,0,0,
0,1,0,3,0,5,0,7,0,
0,0,0,0,0,0,0,0,0,
0,9,0,4,0,3,0,1,0,
8,0,0,0,0,0,0,0,2,
0,6,0,5,0,2,0,3,0,
0,0,0,0,0,0,0,0,0,
0,3,0,1,0,8,0,6,0,
0,0,4,0,7,0,8,0,0,
#Answer:
3,7,2,9,4,1,6,8,5,
6,1,8,3,2,5,4,7,9,
9,4,5,8,6,7,3,2,1,
2,9,7,4,8,3,5,1,6,
8,5,3,7,1,6,9,4,2,
4,6,1,5,9,2,7,3,8,
5,8,6,2,3,4,1,9,7,
7,3,9,1,5,8,2,6,4,
1,2,4,6,7,9,8,5,3,

T-06
#Size:9,9
#Type:スタンダード
*Present:(4,5),(6,5)
#Question:
3,0,0,1,2,0,0,0,6,
0,0,0,0,0,3,0,0,0,
0,0,5,0,0,0,4,0,0,
0,7,0,4,0,5,0,0,2,
2,0,0,0,0,0,0,0,3,
1,0,0,2,0,6,0,4,0,
0,0,8,0,0,0,5,0,0,
0,0,0,3,0,0,0,0,0,
6,0,0,0,7,2,0,0,4,
#Answer:
3,8,7,1,2,4,9,5,6,
4,6,1,9,5,3,2,7,8,
9,2,5,8,6,7,4,3,1,
8,7,6,4,3,5,1,9,2,
2,5,4,7,1,9,8,6,3,
1,9,3,2,8,6,7,4,5,
7,3,8,6,4,1,5,2,9,
5,4,2,3,9,8,6,1,7,
6,1,9,5,7,2,3,8,4,
